{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:22', 'vehicle_id': 'NRA_000000001508_Southbound-3.22889', 'lane_id': '106130759.2098', 'lane_index': 2, 'direction': 'S', 'speed': '114.14', 'distance': '58.21394623653159', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:22', 'vehicle_id': 'NRA_000000001508_Southbound-4.23041', 'lane_id': '106130759.2437', 'lane_index': 0, 'direction': 'Unknown', 'speed': '89.95', 'distance': '41.85978082792542', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:22', 'vehicle_id': 'NRA_000000001508_Southbound-4.23044', 'lane_id': '106130759.2098', 'lane_index': 1, 'direction': 'S', 'speed': '99.83', 'distance': '28.68064975889485', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:24', 'vehicle_id': 'NRA_000000001508_Southbound-3.22889', 'lane_id': '106130759.2098', 'lane_index': 2, 'direction': 'S', 'speed': '114.31', 'distance': '23.821460251606283', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:24', 'vehicle_id': 'NRA_000000001508_Southbound-4.23041', 'lane_id': '106130759.2437', 'lane_index': 0, 'direction': 'Unknown', 'speed': '91.42', 'distance': '88.58714631320726', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:25', 'vehicle_id': 'NRA_000000001508_Southbound-3.22888', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '102.43', 'distance': '75.02787147013917', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:25', 'vehicle_id': 'NRA_000000001508_Southbound-3.22889', 'lane_id': '106130759.2437', 'lane_index': 2, 'direction': 'Unknown', 'speed': '109.06', 'distance': '42.732051336462554', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:25', 'vehicle_id': 'NRA_000000001508_Southbound-4.23044', 'lane_id': '106130759.2437', 'lane_index': 1, 'direction': 'Unknown', 'speed': '93.98', 'distance': '70.10660297435356', 'vehicle_class': 'passenger', 'route_id': '106130759_to_345616204#1.655'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:26', 'vehicle_id': 'NRA_000000001508_Southbound-3.22888', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '98.13', 'distance': '55.09149467779439', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
{'sensor_type': 'toll_bridge', 'sensor_id': 'toll_bridge', 'timestamp': '2024-07-17 22:01:27', 'vehicle_id': 'NRA_000000001508_Southbound-3.22888', 'lane_id': '106130759.2098', 'lane_index': 0, 'direction': 'S', 'speed': '98.4', 'distance': '33.325995941081224', 'vehicle_class': 'passenger', 'route_id': '106130759_to_491989399#1-AddedOnRampEdge.925'}
